First Name,Middle Name,Last Name,Gender,Date of Birth,Phone,Alt Phone,Email,Marital Status,Nationality,Birth Country,Birth Province,Birth District,Birth Sector,Birth Cell,Birth Village,Residence Province,Residence District,Residence Sector,Residence Cell,Residence Village,Department,Position Code,Contract Type,Start Date,End Date,Basic Salary,National ID,RSSB Number,Medical Insurance,TIN Number,Payment Method,Bank Name,Bank Account Number,Bank Account Holder,Mobile Provider,Mobile Money Number,Next of Kin Name,Next of Kin Relationship,Next of Kin Phone,Next of Kin Email,Next of Kin Address,Qualification Level,Qualification Institution,Qualification Year,Qualification Grade
Jean,,Ndayisaba,Male,1991-02-11,+250781000731,+250791000719,jean.ndayisaba1@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-1,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-1,Administration,SECRETARY,Temporary,2026-02-03,2027-02-03,286500,1199100000000001,RSSB-2001,MMI-3001,,Bank Transfer,Bank of Kigali,10100001,Jean Ndayisaba,,,Kin Jean Ndayisaba,Sibling,0787100001,,Kigali Block 1,Bachelor's Degree,University of Rwanda,2013,Upper Second
Aline,,Umutoni,Female,1992-03-12,+250781001462,+250791001438,aline.umutoni2@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-2,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-2,Finance,ACCOUNTANT,Probation,2026-03-05,2027-03-05,293000,1199100000000002,RSSB-2002,MMI-3002,,Mobile Money,,,,MTN MoMo,0788100002,Kin Aline Umutoni,Parent,0787100002,,Kigali Block 2,Bachelor's Degree,University of Rwanda,2014,Upper Second
Eric,Uwase,Nsengiyumva,Male,1993-04-13,+250781002193,+250791002157,eric.nsengiyumva3@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-3,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-3,ICT,LIBRARIAN,Internship,2026-04-07,2027-04-07,,1199100000000003,RSSB-2003,MMI-3003,TIN-5003,Bank Transfer,Bank of Kigali,10100003,Eric Nsengiyumva,,,Kin Eric Nsengiyumva,Sibling,0787100003,kin.eric3@mail.com,Kigali Block 3,Bachelor's Degree,University of Rwanda,2015,Upper Second
Diane,,Mugisha,Female,1994-05-14,+250781002924,+250791002876,diane.mugisha4@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-4,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-4,Library,DISCIPLINE,Permanent,2026-05-09,,306000,1199100000000004,RSSB-2004,,,Mobile Money,,,,MTN MoMo,0788100004,Kin Diane Mugisha,Parent,0787100004,,Kigali Block 4,Diploma,IPRC Kigali,2016,Merit
Patrick,,Niyonzima,Male,1995-06-15,+250781003655,,patrick.niyonzima5@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-5,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-5,Discipline,HR,Temporary,2026-06-11,2027-06-11,312500,1199100000000005,RSSB-2005,MMI-3005,,Bank Transfer,Bank of Kigali,10100005,Patrick Niyonzima,,,Kin Patrick Niyonzima,Sibling,0787100005,,Kigali Block 5,Bachelor's Degree,University of Rwanda,2017,Upper Second
Vestine,Uwase,Murekatete,Female,1996-07-16,+250781004386,+250791004314,vestine.murekatete6@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-6,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-6,Human Resources,STORE_MANAGER,Probation,2026-07-13,2027-07-13,319000,1199100000000006,RSSB-2006,MMI-3006,TIN-5006,Mobile Money,,,,MTN MoMo,0788100006,Kin Vestine Murekatete,Parent,0787100006,kin.vestine6@mail.com,Kigali Block 6,Bachelor's Degree,University of Rwanda,2018,Upper Second
Emmanuel,,Hakizimana,Male,1997-08-17,+250781005117,+250791005033,emmanuel.hakizimana7@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-7,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-7,Academics,TEACHER,Internship,2026-08-15,2027-08-15,,1199100000000007,RSSB-2007,MMI-3007,,Bank Transfer,Bank of Kigali,10100007,Emmanuel Hakizimana,,,Kin Emmanuel Hakizimana,Sibling,0787100007,,Kigali Block 7,Bachelor's Degree,University of Rwanda,2019,Upper Second
Claudine,,Mukamana,Female,1998-01-18,+250781005848,+250791005752,claudine.mukamana8@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-8,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-8,Administration,SECRETARY,Permanent,2026-09-17,,332000,1199100000000008,RSSB-2008,,,Mobile Money,,,,MTN MoMo,0788100008,Kin Claudine Mukamana,Parent,0787100008,,Kigali Block 8,Diploma,IPRC Kigali,2020,Merit
Didier,Uwase,Rukundo,Male,1999-02-10,+250781006579,+250791006471,didier.rukundo9@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-9,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-9,Finance,ACCOUNTANT,Temporary,2026-10-19,2027-10-19,338500,1199100000000009,RSSB-2009,MMI-3009,TIN-5009,Bank Transfer,Bank of Kigali,10100009,Didier Rukundo,,,Kin Didier Rukundo,Sibling,0787100009,kin.didier9@mail.com,Kigali Block 9,Bachelor's Degree,University of Rwanda,2021,Upper Second
Gloria,,Uwimana,Female,1990-03-11,+250781007310,,gloria.uwimana10@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-10,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-10,ICT,LIBRARIAN,Probation,2026-11-21,2027-11-21,345000,1199100000000010,RSSB-2010,MMI-3010,,Mobile Money,,,,MTN MoMo,0788100010,Kin Gloria Uwimana,Parent,0787100010,,Kigali Block 10,Bachelor's Degree,University of Rwanda,2022,Upper Second
Samuel,,Ndayisaba,Male,1991-04-12,+250781008041,+250791007909,samuel.ndayisaba11@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-11,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-11,Library,DISCIPLINE,Internship,2026-12-23,2027-12-23,,1199100000000011,RSSB-2011,MMI-3011,,Bank Transfer,Bank of Kigali,10100011,Samuel Ndayisaba,,,Kin Samuel Ndayisaba,Sibling,0787100011,,Kigali Block 11,Bachelor's Degree,University of Rwanda,2023,Upper Second
Anitha,Uwase,Umutoni,Female,1992-05-13,+250781008772,+250791008628,anitha.umutoni12@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-12,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-12,Discipline,HR,Permanent,2026-01-25,,358000,1199100000000012,RSSB-2012,,TIN-5012,Mobile Money,,,,MTN MoMo,0788100012,Kin Anitha Umutoni,Parent,0787100012,kin.anitha12@mail.com,Kigali Block 12,Diploma,IPRC Kigali,2012,Merit
